Dans quel but utilisez-vous Themis?,"En moyenne, combien d'heures par semaine utilisez-vous Themis?",Quelles informations du tableau de bord principal considérez-vous utiles? Veuillez détailler pourquoi.,Quelles démarches entreprenez-vous en fonction des informations du tableau de bord principal,"En moyenne, combien de fois par semaine utilisez-vous la vue de suggestions?","Dans la vue de suggestions, utilisez vous la liste ou la treemap?","Expliquez pourquoi vous n'utilisez pas l'un, pourquoi vous utilisez l'autre, ou pourquoi vous utilisez les deux.",A quel point pensez-vous que votre score est corrélé à la dette technique que vous ajoutez et supprimez?,Expliquez pourquoi,Quelle est pour vous l'importance de votre score dans Themis,Expliquez pourquoi,Quelles démarches réalisez-vous pour améliorer votre score dans Themis?,Quelle partie de votre score est la plus important pour vous?,Expliquez pourquoi.,"Avez-vous remarqué un changement dans votre motivation à réduire la dette technique depuis l'introduction de Themis? Si oui, quel a été ce changement?",Comment pensez-vous que vos managers utilisent les informations fournies par Themis?,Quel est votre ressenti à propos du fait que les managers puissent observer en détail vos actions grâce à Themis?,Quelles instructions avez-vous reçues de la part de vos managers concernant l'utilisation de Themis?,Etes-vous d'accord avec le fait que les actions des autres développeurs soient anonymisées?,Expliquez pourquoi.,A quelle fréquence pensez-vous que votre score doit être remis à zéro?,Expliquez pourquoi,Pensez-vous que la participation des développeurs au classement devrait être optionnelle? Expliquez pourquoi.,"Pensez-vous que Themis a eu un impact sur la dette technique de votre projet? Si oui, quel a été cet impact (positif ou négatif)?",Quels sont les difficultés principales que vous avez ressenties en utilisant Themis?,"Avant d'utiliser Themis, comment gériez-vous la dette technique de votre projet?","Est-ce que l'introduction de Themis a affecté d'autre tâches de votre travail? Si oui, veuillez détailler lesquelles et comment.","Veuillez décrire toute modification de Themis que vous voudriez voir réaliser (Sur le tableau de bord principal, le tableau de bord des actions, la configuration du procédé et des plans d'actions, etc). ","Si vous avez, des commentaires, questions ou préoccupations que vous voulez partager avec nous, veuillez les ajouter ci-dessous",Êtes-vous d'accord pour participer à un éventuel entretien complémentaire (via vidéoconférence)?,Êtes-vous d'accord pour répondre à d'éventuelles questions supplémentaires via email,Voulez-vous recevoir des informations sur les résultats de cette étude et sur les publications potentielles qui en découlent?
Pour détecter mes fautes de code et les corriger par la suite.,3,"L'historique, le classement et les objectifs. 
Le classement pour savoir si je suis en ""retard"" par apport à l'équipe et si oui, me décider à corriger la dette créée. 
Les actions pour avoir un aperçu rapide de ce que j'ai produit dernièrement et pour savoir si mes dernières corrections ont été prises en compte. 
Et les objectifs pour essayer de ne pas les manquer.","Si je suis en retard dans le classement, j'ouvre la vue des suggestions pour essayer de rattraper le dit retard.
Si je vois que j'ai trop d'actions négatives sur le fil d'actualité, j'ouvre la vue du fichier pour essayer de la corriger dans l'instant.",5,Uniquement la liste,"La liste me permet directement de travailler sur la dette technique que j'ai choisie. Comprenant sa correction, je peux alors corriger ""mécaniquement"" l'erreur dans tous les fichiers impactés.
La treemap ne m'interesse pas car je ne fonctionne par emplacement de fichier et je pilote ma correction par rapport aux règles que je peux le plus facilement corriger.",Fortement corrélé,Je perds de points à chaque ajout de dette technique,6,C'est une bonne visualisation/matérialisation de mon apport à la dette technique. Et le classement nous donne une relativité à tout ça.,Corriger la dette (grâce à la vue Suggestions),2,"Actuellement, nous avons un logiciel encore endetté donc à mes yeux, la correction est importante et donc le gain de points positifs.",Seul mon IDE m'avertissait de certaines violations,Pas de manager au sein de l'équipe,Pas de manager au sein de l'équipe,Pas de manager au sein de l'équipe,4,"Ça dépend du fonctionnement et de la taille de l'équipe. Au sein de ProMyze, je ne ressens pas le besoin d'avoir une anonymisation",Chaque mois,Cela permet d'éviter que le premier (ou dernier) le reste ad vitam aeternam. La période d'un mois me parait la plus équilibré.,"Non, je n'y vois pas d'inconvénient (mais je travaille au sein d'une équipe à organisation et taille humaines)","Oui, un impact positif",Aucunes,,Je consacre juste qques heures dans la semaine à faire de la correction de dette,RAS,RAS,Oui,,Oui
Amélioration de la qualité de code ,2h,"Le fil d'actualités est une source de ressources précieuse : il permet de se tenir informer des dernières actions (bonnes ou mauvaises) qui ont été réalisées. Cela permet de faire un ""bilan"" du travail déjà effectué.
Le classement est aussi important, car permet de se situer en terme de qualité sur l'ensemble des développeurs. Il permet aussi de donner forme au ""jeu de Themis"", et de nouer des relations sociales avec les autres développeurs en discutant sur ce dernier.
Enfin, les objectifs permettent d'avoir un aperçu rapide des règles à respecter pour la suite du développement. Celui-ci souffre d'un léger manque d'ergonomie, car peut-être trop d'informations pas forcément utiles (ex : le nom du plan d'action).","De temps à autre, je réalise des corrections de dettes afin d'améliorer, non pas forcément la qualité, mais plutôt le classement. L'aspect gamification offre une certaine motivation à réaliser des tâches que l'on ne ferait pas en temps normal.",10min,Principalement la treemap,"La liste permet de situer l'ensemble des infractions en fonction des règles. Je suis plus intéressé par la correction des infractions d'un fichier en particulier, plutôt que d'une règle.",Pas corrélé,"Travaillant sur une branche indépendante (car fonctionnalité dense), il a fallu créer un projet à part entière pour que je puisse profiter de Themis. Le problème est que Themis considère que tous les fichiers modifiées sont par conséquent les miens (car seul sur la branche), ainsi que l'intégralité des infractions sur ces fichiers. Tout cela résulte par un score incroyablement bas.",7,"Le score est l'indicateur le plus simple, le plus accessible et le plus compréhensible pour juger de nos efforts en terme de qualité de code.",Essentiellement des corrections (par refactorisation) de fonctions trop complexes ou autres.,6,Il est inutile de chercher à réaliser des performances incroyables si l'on n'est pas capable d'éviter de faire des erreurs basiques. Il faut apprendre les règles avant de les améliorer.,"J'ai une meilleure sensibilisation à la dette technique, et une motivation supplémentaire, même si elle n'est que virtuelle, à réduire la dette : le score.","Etant au courant des erreurs les plus communes, les managers peuvent plus facilement cibler les problèmes communs afin de les résoudre. Ils peuvent aussi aider à mieux former les ""points faibles"" d'une équipe, et parvenir à avoir des équipes plus homogènes en termes de compétences.","Aucun problème sur ça. Il s'agit juste de faciliter l'aperçu du code produit. Sans ça, les managers pouvaient aussi scruter le code via les logiciels de versionnage, même s'il s'agit d'une action bien plus compliqué et chronophage.","Pour le moment, aucune, car je travaille sur une branche indépendante avec un score faussé. Donc pas exploitable.",4,Aucun avis sur la question.,Chaque mois,"La technique de ""l'employé du mois"" me paraît être une bonne réponse.","Il est possible que le classement qui va motiver les gros développeurs puisse décourager les développeurs moins bons, et créer un climat de compétition peut-être pas forcément intéressant. Laisser aux développeurs la possibilité de ne pas y être inscrit n'est pas forcément une mauvaise chose : ceux qui ne veulent pas rentrer dedans n'y sont pas obligés.","L'impact a été positif, car Themis donne un apport significatif sur le moral par rapport à la dette technique.","Un peu perdu au début, notamment sur les règles et leurs dispositions sous forme de filtres. Mais je pense que ce souci est lié à ma non-connaissance des outils de qualité de code.",,"Non, ou en tout cas je ne l'ai pas remarqué.",Un résumé très simple pour avoir ses objectifs sous une forme lisible plus facilement et rapidement.,J'attends avec impatience le nouveau centre de notifications qui a l'air incroyable ! :),Oui,,Oui
"
Avoir accès aux défauts techniques que je rajoute suite à mes développements
Avoir accès à des suggestions de défauts techniques à corriger pour améliorer la qualité du code du projet
Avoir accès à un historique de mes actions pour évaluer ma manière de travailler
",1 heure,"
Mon fil d'actualité. Deux raisons : d'abord, il m'indique rapidement ce que j'ai en termes d'actions positives ou négatives. Je peux donc très vite évaluer mon travail. Ensuite, et c'est du ressenti, il me fournit indirectement un indicateur pour savoir de quand date la dernière ""analyse thémis"". C'est complètement faux car le fil d'actualité ne restitue pas les modifications neutres, mais c'est une (mauvaise) habitude que j'ai prise.
Classement : Pour me situer par rapport aux autres.
Objectifs en cours : Avoir une idée de l'orientation actuelle de la gestion de la dette, voir ou on en est dans nos objectifs, voir si l'un des objectifs a été réussi ou non.","Fil d'actualité : si j'ai effectué des anomalies, je cherche à les corriger au plus vite.
Objectifs en cours : je suis l'évolution des plans d'actions qui me sont directement attribués, puis ceux globaux à l'équipe. Si j'ai du temps, je cherche à remplir un plan d'action ""effectuer des actions positives"".
Classement : Si je vois que j'ai baissé en classement, j'essaie de comprendre pourquoi. Instinctivement je vais penser que c'est car j'ai crée de la dette, et non pas que mes collègues ont effectué des taches de correction. Je rejette donc un œil au fil d'actualité pour avoir le détail.
Rapport des actions : Actuellement, il ne génère pas d'action pour moi et je le regarde soit en dernier, soit pas du tout.",2,Principalement la liste,"Le système par liste me donne des fichiers regroupés au sein de défauts. Si j'ai envie d'entamer une tache de correction d'un certain type de défauts (je fonctionne comme ça car je n'aime pas trop me disperser), alors c'est cette vue qui répond le plus vite à mon besoin. J'obtiens un fichier à corriger en 2 clic (sélection de la règle, sélection du fichier)
Le système par treemap, sans être inutilisable, est plus contraignant. Déjà parce qu'il me fait naviguer dans des ""packages"" et je n'aime pas ça. Je préfère sélectionner une règle (quelque chose qui a un sens dès la lecture) plutôt que de naviguer dans une arborescence ou je peux très vite me perdre et ne pas savoir ce que je cherchais à la base. En fait quand je vais dans la vue Suggestions, c'est justement car j'ai envie de dire à Thémis : ""Je n'ai aucune idée de quoi corriger, trouve moi vite quelque chose"". Avec la treemap, j'ai le ressenti de ne pas pouvoir avoir ce comportement, alors que je l'ai avec la liste.",Modérément corrélé,"Je trouve que le calcul du score est bon. Dans une très vaste majorité de cas, il va effectivement bien détecté ce que j'ai ajouté ou corrigé. Il y a cependant certaines situations, déjà remontées à Promyze, ou on peut être considéré comme créateur de défauts qui existaient déjà dans un fichier. Personnellement je n'en tiens pas compte car je sais identifier rapidement ce type de situation. Mais cela peut être un peu frustrant car si je sais si j'ai réellement rajouté ou non un défaut, mes collègues voyant mon classement évoluer ne le sauront pas à première vue.",6,"Il me permet d'évaluer mon travail sur une période, si j'ai été bénéfique ou non à mon SI. Egalement il me permet de me positionner par rapport à mes collègues. Pas dans l'optique de montrer que je suis meilleur qu'eux, mais pour voir si je suis aussi bon qu'eux. Cela va de pair avec le fait que quand je vois mon classement diminué, je pars systématiquement du principe que c'est car j'ai mal travaillé (et non pas que mes collègues ont corrigé des choses)","En premier : éviter de rajouter des défauts ! J'utilise les outils de qualimétrie à ma disposition avant toute mise en configuration de mes développements
En second : corriger le contenu d'un fichier que j'ai à modifier pour un de mes développements.  NB : ce n'est pas Thémis qui m'aura recommandé ce fichier (mais le besoin de mon dev), et ce n'est pas Thémis qui m'aura indiqué les défauts existants dans ce fichier (mais mes outils de qualimétries dans mon IDE)
En troisième (mais très peu appliqué par moi) : profiter des plans d'actions/objectifs",5,"Je favorise la faible quantité de points négatifs car c'est pour moi la partie la plus importante et sur le long terme l'objectif de Thémis : Ne plus avoir de défauts créés. Néanmoins, à l'heure actuel, le nombre de défauts est tellement important qu'il faut aussi valoriser mes activités de corrections. C'est donc actuellement quasiment du 50/50 pour moi.
","Oui.
Avec le moteur de suggestions, un accès rapide à des fichiers prêt à être corrigés.
Avec mon fil d'actualité, je voyais très vite ce que je faisais de bien ou de mal et ce que j'avais à corriger. J'en profite éventuellement pour corriger alors d'autres défauts dans le fichier.
","Au niveau de la dette technique, ils proposent des plans d'actions et des objectifs de correction/non création de dette.
D'un point de vue comportement du développeur, aucune idée, je n'ai pas de retour la dessus","Je n'ai aucun problème la dessus à condition que le système de détection soit infaillible et ne m'affecte pas à tort une création/suppression de dette.
","L'utiliser au maximum, éprouver le système, faire des suggestions, être actif et communiquer avec Promyze.",7,"
Si Jacques ajoute un défaut de niveau BLOQUANT, le problème n'est pas que ça soit Jacques qui l'ait fait mais que le défaut n'a pas à être créé. Dans ce type de situation, dès que quelqu'un voit le défaut, il le partage à haute voix dans l'open space ou par mail à toute l'équipe pour demander au responsable (anonyme) de corriger. 
",SPRINT,"Faire fonctionner le score sur nos sprints, ca permet d'inclure Thémis un peu plus dans nos process agile. On peut ainsi imaginer à la fin de la rétrospective d'un sprint, de montrer le podium des meilleurs développeurs. C'est une idée comme ça mais ça rend la place de Thémis dans notre travail plus importante.
","Difficile à dire. D'un côté je trouverai ça dommage car pour moi le but du classement est d'apporter un aspect ludique à la correction de dette, et surtout d'apporter une information au développeur (comparaison aux autres). Mais d'un autre, j'imagine que sur certains projets où des conflits peuvent exister, ça pourrait faire naître des tensions supplémentaires et nuire à l'implémentation de l'outil dans les pratiques de l'équipe. Dans ce type de situation, je dirai que oui, on peut rendre la participation au classement optionnelle. Mais j'encouragerai quand même fortement la participation de l'intégralité de l'équipe au classement.
","Meilleure considération de nos actions et de la dette que l'on créé. Moins de défaut créé car restitué visuellement aux autres via le classement, on est donc plus soucieux.
","Quelques bugs gênants qui ont pu perturbé mes collègues et moi : non détection de correction, affectation à tort de défauts... Tout ce qui venait en fait perturber le calcul du score de chacun.
",,"Je ne regarde quasiment plus Sonar pour gérer la dette, uniquement Thémis
","Pouvoir demander à un développeur expert de se voir désaffecter un défaut si l'on peut prouver qu'on en est pas le créateur. Il ne faut pas laisser le pouvoir au développeur pour faire ça, mais vraiment avoir un validateur externe.
","J'espère que l'équipe a accroché à Thémis ! J'aime beaucoup l'outil et je suis frustré de voir que pas mal de soucis sont liés plus aux difficultés que vous avez eu à vous associer à notre GCL (Atlantis + Clearcase)  qu'à l'outil en lui même. Je pense que vous allez dans la bonne direction avec votre proposition. 

Attention au calcul du score, c'est l'élément principal qui a pu parfois faire pester l'équipe sur Thémis ! Je pense qu'il n'y a rien de plus frustrant que de se voir affecté des défauts à tort, le tout visible par tous ! Cela a même pu démotiver certaines personnes à utiliser l'outil car le calcul du score est l'un des premiers éléments que l'on voit à la connexion. S'en suit alors la réaction suivante : ""Mais si mon score est faux, pourquoi je m'embeterai à regarder le reste, c'est probablement faux aussi !"". On est 100% dans le ressenti et c'est dommage que certains ne soient pas aller plus loin, mais bref...

Je m'excuse d'avance pour les fautes, j'ai voulu être exhaustif dans mes réponses et je n'ai plus trop de jus pour me relire : )
Puis ce n'est pas comme si j'étais bon en grammaire/conjugaison/orthographe.

Bon courage pour l'étude !",Oui,,Oui
"diminution dette, complément sonar.",3,"""Objectif en cours"" met l'accent sur les defauts a tuer en premier.
""Classement"" le jeu ludique qui permet de désigner la personne qui amène les chocolatines à la fin du sprint
""Rapport des actions majeures"" vue détaillée mais concise des actions réalisés. ",Cibler le type de défaut à corriger en premier,0,Principalement la treemap,affichage graphique plus lisible.,Modérément corrélé,"On fait une bêtise on est sanctionné dans ce sens là le score est fortement corrélé à la dette technique hors dans l'utilisation que nous en avons nous avons trouvé que lorsque deux personnes travaillent successivement sur un fichier l'ensemble des points est attribué à la dernière qui a édité le fichier. Si la première personne viole 200 règles, les points négatif sont attribué a la seconde personne. En ce sens le score ne reflète pas toujours les actions d'un développeur.",5,Qu'il soit positif c'est bien mais ce n'est pas une finalité d'avoir le meilleur score.,utilisation de plus d'outils de qualimétrie avant de commit le code et correction de défauts de la dette technique en fonction des plans d'actions établis,7,"on peut avoir 0 point et être un développeur appliquant à la lettre les consignes ""clean code"" ne générant aucun défauts et c'est l'objectif a attendre puisque a terme il ne doit plus y avoir de dette technique","Oui, la mise en place du classement et surtout des pénalités ",Activité sur le code et implication du développeur.,Pas de ressenti particulier ,l'utiliser le plus possible,2,On sait toujours qui a fait quoi surtout quand ce sont des erreurs du coup pourquoi ne pas l'afficher directement comme ça ont retiens aussi les bonnes actions du développeurs,chaque sprint,permet de challenger les développeurs régulièrement et les empêcher d’être découragés par l'écart de points.,,Oui un outils pour quantifier et prioriser le travail a fournir sur la dette technique,la première version n’était pas adaptée au milieu de l'entreprise,Sonar,"Cité plus haut, utilisation de plus d'outils de qualimétrie avant le commit",cf mail d'échanges avec l'équipe Thémis,,,,
dans un but d'amélioration continue mais également afin de susciter des initiatives de correction de code (avec la gamification et les points),une dizaine de minutes en début de journée,le fil d'actualité et le classement car ces seules informations suffisent à remplir les buts cités ci-dessus,la correction d'erreurs de la veille ou la recherche de correction à faire afin de progresser dans le classement,une à deux fois,Les deux,j'utilise les deux sans préférence pour l'un ou l'autre,Fortement corrélé,le score est directement calculé à partir des outils gérants la dette technique.,5,le score est un outil de plus pour motiver les initiatives au sein de l'équipe.,une petite campagne de correction de dette de temps en temps en plus d'une vigilance au quotidien.,5,Le but est pour moi d'apprendre de ses erreurs avant de corriger la dette existante.,des initiatives personnelles de correction de dette,"aucune idée, je ne suis pas certain qu'ils l'utilisent déjà.","je dirais que ça dépend du manager. cependant, je suis plutot serein car notre manager n'est pas du genre à sanctionner les erreurs mais tend à nous tirer vers le haut.",de jouer le jeu,7,nous ne sommes pas là pour juger nos collègues,Chaque mois,"de trop grands écarts de points entre les développeurs peut être assez démoralisant, voir conduire à la résignation et à l'abandon de l'utilisation de thémis",non. il faut impliquer tout le monde.,"oui, un impact positif",la difficulté est venue du temps de configuration de themis et de la grande variation des points induite par les mises à jour.,via sonar uniquement,une attention particulière au quotidien avant de mettre du code en conf.,"je n'ai pas de demande dans l'immédiat, à voir avec plus de recul.",,Oui,Oui,Oui
Afin d'améliorer le code produit.,1,Le fil d'actualités et les objectifs afin d'améliorer mon propre code en priorité.,Cela se traduit par la correction des défauts ajoutés.,1,Principalement la treemap,La treemap permet de voir les fichiers les plus endettés plus facilement,Fortement corrélé,"Chaque fois qu'une action négative est effectuée, des points sont supprimés, c'est donc fortement lié. ",5,Le côté ludique du score permet une émulation entre les développeur,"Cela passe par la correction de dette, mais également, en étant plus attentifs à ce que je fais au quotidien pour ne pas avoir de points négatifs.",6,"Avoir une quantité de points positifs signifie que l'on passe beaucoup de temps à corriger, ce qui n'est pas mon objectif principal, par contre ne pas avoir de points négatifs est important, cela signifie que le code est d'une certaine qualité.","Oui, cela passe par la correction des classes dans lesquelles je travaille afin d'avoir quelques points positifs et également pour faire évoluer visuellement la treemap qui donne l'aperçu de la dette. L'effet visuel, joue un vrai rôle.",Cela leur permet de voir si l'équipe est impliquée dans la qualité du code produit.,"C'est une bonne chose, cela peut permettre de proposer des plan d'action personnalisés afin de s'améliorer individuellement.",D'utiliser Themis et de ne pas hésiter à faire des retours sur des bug/suggestion d'amélioration.,4,"D'un côté cela permet à un développeur qui a quelques difficultés de ne pas être pointé du doigt tout le temps. En revanche, certains développeurs qui ne font pas d'efforts mériteraient justement qu'on les pointe du doigt afin de les faire réagir.",Tous les sprints,"Cela marche par phase de développements, il me parait donc plus judicieux que ce score soit également par phase. De plus, l'équipe n'est pas stable, et les développeurs vont et viennent. Un nouveau n'aurait donc pas la même base de point qu'un ancien. Une remise à zéro régulière par phase de développement me semble donc tout à fait justifiée.","La participation au classement devrait en effet être optionnelle afin de ne pas frustrer certaines personnes qui seraient moins performantes. Il faudrait en revanche que ça soit en accord avec le manager, afin que les personnes de mauvaise volonté soient mise en avant sur le classement.","Oui cela a eu un impact positif sur la dette, les développeurs se sentent plus concernés, et le système de gamification y est pour quelque chose.","La difficulté est de trouver le moyen efficace qui nous convient pour s'en servir. Certains préféreront les suggestions, d'autres les plans d'action... Mais c'est en l'utilisant qu'on trouve ce qui nous va.","La dette n'était pas vraiment gérée avant Themis. Sonar était utilisé pour ne pas ajouter de dette, mais très peu pour la corriger. ",Non.,"Les objectifs ne sont pas clairement écrits quand on les affiche, et si le titre n'est pas clair... Il pourrait être bien de voir réellement l'objectif sous une forme du genre ""Ne pas effectuer plus de 3 action négatives sur la règle : nomDeLaRegle"" par exemple.",,Non,Oui,Oui
Je l'utilise pour corriger de la dette et nettoyer mon code dans la cas ou j'aurai oublié de le faire,2h30,"D'abord le  ""classement"" pour voir ou je me positionne. Puis le ""Rapport des actions majeurs"" pour mes axes d'améliorations. Notamment les actions négatifs. Enfin ""les objectifs en cours"" pour voir comment monter vite dans le classement",Les informations me mettent en alerte sur des points précis que je dois surveiller pour ma progression personnelle.,2 fois,Principalement la treemap,J'ai toutes les informations dont j'ai besoin dans la vue Suggestions - treemap,Ne sait pas,Je n'ai pas encore suffisamment tester les nouvelles mises à jours sur ce point,5,Pour pouvoir me moquer de mes collégues,Correction de dette,5,Je cherche avant tout à m'améliorer et le fais d'avoir moins de points négatifs va dans ce sens.,Je suis plus attentif à la dette. Pour remonter dans les classements je pense tout de suite à baisser la dette,Je pense qu'il l'utilise pour vérifier s'il y a du relachement au niveau du code qu'on produit. Pas plus,Ca ne me dérange pas. Plus il y a de gens qui regarde mon code mieux c'est car on peux me faire des remarques et je pourrais m'améliorer,Bien passer les outils de qualimetrie avant de soumettre le code,4,Je ne vois pas l'interré mais pourquoi pas,Par version,Pour avoir un classement par version,Je ne pense pas que la participation devrait etre optionnel. Le dévellopeur a déjà le choix de ne pas faire attention au classement. Par ailleurs le classement est pour moi la chose la plus motivante pour diminuer la dette,themis à eu un impact positif sur notre projet. Il nous permet d'inscrire notre dette dan un processus de baisse constante et donc d'en venir à bout un jour,aucune,SONAR directement,"L'utilisation des outils de qualimetrie ce veut systématique, ce qui n'était pas vraiment le cas avant",Il serait bien d'avoir un graphe représentatif de la globale ainsi que ca progression dans le temps,,Oui,Oui,Oui
suivi des défauts,0.5,fil d’actualités car il y a le suivi des nouveaux ajouts/corrections.,je corrige si j'ai des ajouts de défauts si cela est possible.,0,Les deux,Faire des actions pour corriger des défauts en masse ne fait absolument pas parti de mon travail principal. C'est inintéressant et il y a du dev bien plus important a réaliser.,Légèrement corrélé,"l'historique du projet provoque des scores incorrects. exemple simple, des fichiers dates de 2009, mais pris en compte seulement à partir de 2014 par le logiciel themis, donc si une modif sans aucun défaut est réalisée, le développeur se prend tous les défauts qui étaient présents antérieurement à sa modif.",1,Score inexacte et ne sert pas à grand chose. Des personnes perdent du temps à corriger des classes qui ne sont historiquement plus modifiés juste pour gagner quelques points. Alors qu'ils ont du dev/debug en attente...,Aucune particulièrement.,7,Au moins on ne crée pas de défauts..,non,aucune idée,i don't care,d'essayer de l'utiliser.,3,i don't care,sur toute la durée d'un version,permet d'avoir les scores sur une version complête,aucune idée,"Non. Des actions pour la diminuer avaient déjà été effectué avant l'arrivé de themis. Il n'y a pas plus d'actions depuis. impact positif: on n'a pas à dire à qqu de corriger ses défauts, il les voit tout seul. impact négatif: perte de temps par certain en corrigeant des classes inutiles pour remonter dans le classement..., des refacto mal réalisés pour ""corriger"" des défaut de npath/cycle/boolean complexity...",aucune,"avec sonar, qui est toujours utilisé.",non,aucune idée,,Non,Non,Non
Pour les anomalies ajoutées la veille (en remplacement de Sonar) et pour rechercher les fichiers contenant plusieurs anomalies à corriger.,1 heure,"Le fil d'actualité pour voir la création de dette, les objectifs en cours si j'ai le temps de faire une activité de correction de masse pour réduire la dette.",Je corrige la dette créée la veille.,0,Uniquement la treemap,"Je n'ai pas utilisé l'outil de suggestion depuis un moment, à l'époque la liste n'existait.",Fortement corrélé,"Depuis qu'on a un classement par sprint, le score représente bien les actions positives que j'effectue.",1,"Depuis le début, je n'aime pas trop l'idée d'un classement. Certains ont besoin de ça pour se motiver à corriger, mais je trouve ça dommage qu'il faille avoir une récompense (des points) pour coder proprement, ou être au fond du classement (visible par tous) pour corriger les anomalies sonar qu'on a créé la veille.","Aucune, j'ai rarement le temps de réaliser des corrections de masse, d'ano sonar (autre que celles créées la veille par mes soins), donc mon score est ce qu'il est.",7,"On doit coder proprement dès le premier essai. Avoir des points négatifs signifie qu'on a mis en conf des sources pas propres, qu'on n'a pas cherché à passer les outils d'analyse sur son environnement local, bref qu'on a pas correctement travaillé.",Non,Aucune diée,"J'ai rien à cacher, quand je fais une erreur, je l'assume. Et souvent je n'ai rien à me reprocher","Au début, il fallait éprouver l'outil. Maintenant qu'il est stable (de notre point de vue), on cherche à remplir des objectifs, […]",7,"les actions des autres ne m'intéressent pas. Seules mes erreurs m'intéressent. Et de toute façon, on voit le rapport Sonar donc on voit ce qui est ajouté par les autres et on voit lorsqu'elles sont corrigées.",A chaque sprint de dev,"Certains points négatifs ne sont pas corrigés car on décide de ne pas les corriger. Donc si on ne remet pas à zéro les points et donc le classement, on ne bougera jamais dans ce classement, donc en gros, il ne sert à rien.","Oui, si un développeur s'en moque du classement et de la gamification, il pourrait choisir de ne pas faire partie du classement.","Oui, positif, certains cherchent à être en haut du classement",Aucune difficuilté,En regardant les rapports Sonar tous les matins et en corrigeant les ano de la veille.,Non,Aucune idée,Aucun,Non,Non,Non
Améliorer la qualité de mon code.,1,"Le fil d'actualité car il permet de voir rapidement si on a ajouté de la dette. Le classement et les objectifs sont également utiles et il est important de pouvoir les voir rapidement via le tableau de bord. Par contre, je n'utilise pas le rapport des actions majeures.",Correction de la tête créée.,Des que j'ai du temps pour travailler sur la dette existante (au moins une fois par semaine),Principalement la treemap,Je me repère plus facilement dans le projet avec la treemap.,Modérément corrélé,"La dette qui est ajoutée ou supprimée est bien prise en compte. Par contre, dans certains cas la dette existante nous est attribuée et on perd des points.",4,"Le score est important pour les anciens projets avec une dette importante afin de créer une compétition et pousser les développeurs à corriger cette dette. Par contre, cela peut être moins nécessaire sur un nouveau projet avec peu de dette, puisqu'un code clean ne va pas générer de points.",Réaliser les objectifs et corriger la dette existante lorsque je modifie un fichier.,7,Produire un code clean est la première étape afin de pouvoir faire baisser la dette.,"Oui, afin d'obtenir un meilleur score",0,Ça ne me gène pas.,0,4,On peut toujours retrouver les actions faites via d'autres moyens.,Chaque jour,"On développe suivant des sprints (3 semaines), il est important d'avoir son score lié à cette période de développement. ",Oui s'ils n'ont pas produit de code durant le sprint en cours.,"Oui positif, moins de dette créée et corrigée au plus tôt.",Aucunes,"Avec Sonar, on essayait déjà de ne plus produire de dette.",Non,Pouvoir enlever des développeurs du classement suivant s'il développe ou non sur le sprint.,,Non,Non,
